Site_ID,Site,C_DEM,C_Slope,C_Acos,C_Asin,C_Rusle,C_RusLog,C_FlDep,C_FlDist,C_x,C_y
SITE_0001,Ahtopol Fortress,-1.003660897470000,-0.572333605517000,1.240118468860000,-0.408361370168000,-0.000000005523768,0.000000000000000,-0.044811071419600,-0.469274868852000,0.131559273429000,-0.013458469841800
SITE_0002,Kozareva Mogila,-0.784834041293000,-0.829427850976000,0.189368653516000,-1.167611404990000,-0.336140058231000,-0.190769988898000,-0.044811071419600,0.592510171497000,0.107346348332000,0.087697006540800
SITE_0003,Poros Fortress,-1.054609193610000,-0.639445991076000,0.658994743049000,-1.066399877060000,-0.000000005523768,0.000000000000000,-0.044811071419600,-0.860332990023000,0.100759820754000,0.050275283384500
SITE_0004,Cape Akra settlement,-0.996988658437000,-0.527045102286000,-0.772052237025000,-0.183268886555000,-0.000000005523768,0.000000000000000,-0.044811071419600,-0.253750607856000,0.110859786415000,0.053053677791100
SITE_0005,Deultum,-1.025056640170000,-0.988639656939000,-0.975377407297000,0.123045639630000,-0.000000005523768,0.000000000000000,-0.044811071419600,-0.858434092248000,0.088758487479500,0.039686449775900
SITE_0006,Gornoto Gradishte,-0.968699004054000,-0.750211873858000,0.303894731363000,-1.165015789740000,-0.162962221118000,0.336737270851000,-0.044811071419600,-0.856512479684000,0.088407088374800,0.038189211782700
SITE_0007,Antimovo Fortress,-0.230221762823000,-0.686339946986000,-0.513969032578000,-0.953900301456000,0.130433080391000,2.025514855330000,-0.044811071419600,-0.329764283915000,0.065630361384400,0.073011497561900
SITE_0008,Poros Fortress wall,-1.032457664000000,-0.553071512738000,-0.847814239004000,0.618839311058000,-0.443393604143000,0.000000000000000,-0.044811071419600,-0.861317184180000,0.101055608107000,0.052298736255700
SITE_0009,Dolmen Dragon house,-0.636641342941000,-0.977646263234000,0.040282622592900,0.528565478216000,-0.522136009486000,-1.246244088980000,-0.044811071419600,1.200194530390000,0.118877563345000,0.025134115115600
SITE_0010,Urdoviza Fortress,-1.008989171160000,-0.771182327240000,0.373133247171000,-1.125051755950000,-0.000000005523768,0.000000000000000,-0.044811071419600,0.784702316540000,0.120918138709000,0.011520920139200
SITE_0011,Gradishte Fortress II,-0.329505325787000,-0.929194690970000,-0.733393773507000,-0.519597472475000,0.100782974060000,1.412420618320000,-0.044811071419600,0.740681106606000,0.063291994076400,0.114564143542000
SITE_0012,Mishkova Niva,0.361583736046000,-0.212869099835000,-0.575599577297000,-0.283364511331000,-0.526884616346000,-1.131060624110000,-0.044811071419600,0.302886599976000,0.103042121107000,-0.041454322013500
SITE_0013,Necropolis City of the dead,0.386326526119000,-0.984664066113000,1.220469179300000,0.166009204308000,-0.506001699365000,-1.159421690080000,-0.044811071419600,0.133215795131000,0.102010946532000,-0.036632974147300
SITE_0014,Golyamoto Kale,-0.122195142819000,-0.902012389096000,0.481107085195000,0.813294178928000,-0.543307132339000,-1.110379449350000,-0.044811071419600,0.958864344184000,0.093615914887900,-0.005241096072770
SITE_0015,Church of Christ Pantokrator,-1.014706884750000,-0.706253548780000,0.948874551132000,0.102109397347000,-0.000000005523768,0.000000000000000,-0.044811071419600,1.660418403580000,0.117519198048000,0.091124663334100
SITE_0016,Church of St. John Aliturgetos,-1.023938439420000,-0.201876596626000,-0.891915729152000,-0.168335683928000,-0.000000005523768,0.000000000000000,-0.044811071419600,1.663719130900000,0.117509049412000,0.090859813957300
SITE_0017,Church of St. John the Baptist,-1.016819631840000,-0.240663367143000,1.159921918160000,0.241921832814000,-0.000000005523768,0.000000000000000,-0.044811071419600,1.665680984860000,0.117565746715000,0.091190957817900
SITE_0018,Church of St. Paraskeva,-1.000501618810000,-0.623580026787000,1.260831246820000,0.401958879131000,-0.000000005523768,0.000000000000000,-0.044811071419600,1.676716507250000,0.117658871657000,0.091287634091800
SITE_0019,Church of St. Stefan,-1.005431367000000,-0.319011361274000,0.092563274933800,-1.136877383260000,-0.000000005523768,0.000000000000000,-0.044811071419600,1.661506132600000,0.117504051350000,0.090956114055700
SITE_0020,Church of St. Theodore,-0.991253956928000,-0.606476885504000,-0.851510126597000,-0.439365868451000,-0.000000005523768,0.000000000000000,-0.044811071419600,1.702995439730000,0.117865903104000,0.091353278431300
SITE_0021,Church of St. Vlahara,-0.996878966420000,-0.864127273439000,0.720579063175000,-0.616868761393000,-0.000000005523768,0.000000000000000,-0.044811071419600,1.687900876770000,0.117745724076000,0.091263759867100
