Cluster,Sites_n,Mean_Baseline_WLC,Mean_MC_Mean_WLC,Mean_Abs_MC_Mean_Delta,Max_Abs_MC_Mean_Delta,Mean_MC_SD,Max_MC_SD,Mean_MC_CV_Pct,Max_MC_CV_Pct,Mean_Class_Stability_Pct,Minimum_Class_Stability_Pct,Sites_MC_Mean_Class_Changed
1,178,4.097548673947149,4.096965256387995,0.0013947641614450042,0.0042602871467831704,0.06001621040859288,0.11241017210016215,1.5459439432485502,3.0108847086647,98.27191011235955,54.2,0
2,41,5.301781009128026,5.300117528173969,0.001861021700628989,0.003929278186856955,0.06610072142552359,0.0993934273481416,1.2937753063683148,2.4048197732592214,96.40731707317073,61.6,0
3,31,5.14896068878334,5.147944921709499,0.0017859058661597585,0.004112000775112534,0.060602070635627,0.11087891830408317,1.2825321663054428,3.092633244597285,94.6741935483871,58.4,0
