Cluster,Site_ID,Site,Excluded_Criteria,Baseline_Applicable_Weight_Sum,Baseline_WLC,Existing_WLC,Baseline_Check_Delta,Baseline_Class,MC_Mean_WLC,MC_SD,MC_CV_Pct,MC_Min_WLC,MC_Max_WLC,MC_Mean_Delta_From_Baseline,MC_Abs_Mean_Delta_From_Baseline,MC_Mean_Class,MC_Mean_Class_Changed,Baseline_Class_Stability_Count,Baseline_Class_Stability_Pct,Count_Very_Low,Pct_Very_Low,Count_Low,Pct_Low,Count_Moderate,Pct_Moderate,Count_High,Pct_High,Count_Very_High,Pct_Very_High
1,SITE_0001,Ahtopol Fortress,Soil Erosion,0.9119060157463934,2.187942650592102,2.187943,-3.4940789817028417e-07,Low,2.19008108064603,0.036564822210198966,1.6695647724335885,2.0834240355403524,2.2913049856479253,0.0021384300539279977,0.0021384300539279977,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0002,Kozareva Mogila,,1.0,3.0296793292287827,3.029679,3.2922878290264634e-07,Low,3.028887209756463,0.05200125395317852,1.7168435254266095,2.9031666240255767,3.154404787101938,-0.0007921194723197189,0.0007921194723197189,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0003,Poros Fortress,Soil Erosion,0.9119060157463934,2.3223168856600336,2.322317,-1.1433996638388066e-07,Low,2.3241764139267604,0.0376838432533405,1.6213848065720884,2.2073569616545528,2.4340818844501375,0.001859528266726862,0.001859528266726862,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0004,Cape Akra settlement,Soil Erosion; Landslide,0.7880109830335105,1.7458169127575842,1.745817,-8.724241573609959e-08,Very Low,1.7459536368746045,0.032092599106509856,1.8381129045303948,1.6682592694107479,1.8224339502179692,0.00013672411702025933,0.00013672411702025933,Very Low,False,1000,100.0,1000,100.0,0,0.0,0,0.0,0,0.0,0,0.0
1,SITE_0005,Deultum,Soil Erosion,0.9119060157463934,2.4233489943891118,2.423349,-5.6108881985039716e-09,Low,2.422404947120174,0.05701370318246663,2.3535991887007244,2.264810876111038,2.5742352348134343,-0.0009440472689377088,0.0009440472689377088,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0006,Gornoto Gradishte,,1.0,2.474148478997224,2.474148,4.789972241070473e-07,Low,2.473390086659986,0.0518974429835315,2.0982312197107866,2.330301424003533,2.6139046658275213,-0.0007583923372380674,0.0007583923372380674,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0007,Antimovo Fortress,,1.0,4.374991710713659,4.374992,-2.8928634066005543e-07,Moderate,4.37662583318027,0.060396758665808556,1.379984512450801,4.209939050208633,4.53904740574469,0.0016341224666112097,0.0016341224666112097,Moderate,False,1000,100.0,0,0.0,0,0.0,1000,100.0,0,0.0,0,0.0
1,SITE_0008,Poros Fortress wall,Soil Erosion; Landslide,0.7880109830335105,1.979068750532838,1.979069,-2.4946716203899655e-07,Very Low,1.9789175975300242,0.03473021772030054,1.755010808112924,1.878901948635503,2.076033603097441,-0.0001511530028137642,0.0001511530028137642,Very Low,False,721,72.1,721,72.1,279,27.900000000000002,0,0.0,0,0.0,0,0.0
1,SITE_0009,Dolmen Dragon house,,1.0,2.7619516339104413,2.761952,-3.6608955866768156e-07,Low,2.7625313351359044,0.04058646433966446,1.469176614341201,2.64781140787522,2.86907030795951,0.0005797012254631362,0.0005797012254631362,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0010,Urdoviza Fortress,Soil Erosion,0.9119060157463934,2.459670286057858,2.45967,2.860578578456341e-07,Low,2.463044217509184,0.04803602422119729,1.9502704774733985,2.3309306721494423,2.5886950488033658,0.00337393145132614,0.00337393145132614,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
