Cluster,Criterion,Weight,Lambda_Max,CI,RI,CR,CR_Accepted
1,Seismic,0.2938559592925609,6.461791444384285,0.09235828887685696,1.24,0.07448249102972336,True
1,Wildfire,0.2938559592925609,6.461791444384285,0.09235828887685696,1.24,0.07448249102972336,True
1,Flood,0.03063416832994177,6.461791444384285,0.09235828887685696,1.24,0.07448249102972336,True
1,Soil Erosion,0.08809398425360665,6.461791444384285,0.09235828887685696,1.24,0.07448249102972336,True
1,Landslide,0.12389503271288296,6.461791444384285,0.09235828887685696,1.24,0.07448249102972336,True
1,Asset Vulnerability,0.16966489611844687,6.461791444384285,0.09235828887685696,1.24,0.07448249102972336,True
2,Seismic,0.2675109705616971,6.372846694233826,0.0745693388467652,1.24,0.06013656358610097,True
2,Wildfire,0.14869640191456862,6.372846694233826,0.0745693388467652,1.24,0.06013656358610097,True
2,Flood,0.03783458950365352,6.372846694233826,0.0745693388467652,1.24,0.06013656358610097,True
2,Soil Erosion,0.03783458950365352,6.372846694233826,0.0745693388467652,1.24,0.06013656358610097,True
2,Landslide,0.42595895291935165,6.372846694233826,0.0745693388467652,1.24,0.06013656358610097,True
2,Asset Vulnerability,0.08216449559707564,6.372846694233826,0.0745693388467652,1.24,0.06013656358610097,True
3,Seismic,0.22044747936118636,6.468223797290853,0.09364475945817059,1.24,0.07551996730497629,True
3,Wildfire,0.10784192453865041,6.468223797290853,0.09364475945817059,1.24,0.07551996730497629,True
3,Flood,0.03816943554041224,6.468223797290853,0.09364475945817059,1.24,0.07551996730497629,True
3,Soil Erosion,0.10784192453865041,6.468223797290853,0.09364475945817059,1.24,0.07551996730497629,True
3,Landslide,0.4610660681346031,6.468223797290853,0.09364475945817059,1.24,0.07551996730497629,True
3,Asset Vulnerability,0.06463316788649752,6.468223797290853,0.09364475945817059,1.24,0.07551996730497629,True
