Cluster,Run_ID,Criterion_Row,Criterion_Column,Direction,Base_IOI,Perturbed_IOI,Site_ID,Site,Excluded_Criteria,Baseline_Applicable_Weight_Sum,Alternative_Applicable_Weight_Sum,Baseline_WLC,Alternative_WLC,Baseline_Class,Alternative_Class,Class_Changed
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0034,Begliktash,,1.0,1.0,2.7619516339104413,2.8294956669717157,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0035,Chengerska mound,,1.0,1.0,2.853491360721569,2.9210353937828435,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0036,Mound Stamopolu,,1.0,1.0,2.853491360721569,2.9210353937828435,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0037,Oriospotamo,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,1.7458169127575842,1.8389330444024896,Very Low,Very Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0038,Ranuli Fortress,,1.0,1.0,2.33108211486242,2.4004712532170753,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0039,Thera Fortress foundation,Landslide,0.8761049672871172,0.8770275199338077,1.6708236347580445,1.755547981972028,Very Low,Very Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0040,Rusokastro Fortress,,1.0,1.0,2.9187940334475417,3.063107626036996,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0041,Apollonia Pontica Cape Skamni,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,1.7458169127575842,1.8389330444024896,Very Low,Very Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0042,Apollonia Pontica Chapel,Soil Erosion,0.9119060157463934,0.912828568393084,2.831780773736956,2.903923694259518,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0043,Fortification of St. John Monastery,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,3.0376635984368257,3.1207539682307313,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0044,Island St. Kirik and St. Julita,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,1.7458169127575842,1.8389330444024896,Very Low,Very Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0045,Mesarite,,1.0,1.0,3.688401283809995,3.7504100009911254,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0046,Monastery of St. John the Baptist,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0047,Necropolis of Apollonia I,Soil Erosion,0.9119060157463934,0.912828568393084,3.3042741136293965,3.3739182021109566,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0048,Necropolis of Apollonia II,Soil Erosion,0.9119060157463934,0.912828568393084,3.5760017490951523,3.6433499099346265,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0049,Necropolis of Apollonia III,Soil Erosion,0.9119060157463934,0.912828568393084,3.5760017490951523,3.6433499099346265,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0050,Sozopolis Southern Complex,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0051,Sozopolis Southern Fortification,Soil Erosion,0.9119060157463934,0.912828568393084,2.459670286057858,2.5342105864219637,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0052,St. Marina Oikos,,1.0,1.0,3.4406112183842286,3.504465040858741,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0053,Via sacra,Soil Erosion,0.9119060157463934,0.912828568393084,2.187942650592102,2.2647788785982934,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0054,Aquae Calidae,Soil Erosion,0.9119060157463934,0.912828568393084,2.8324300302526924,2.833465659026022,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0055,Alexandrovo Tomb,,1.0,1.0,6.131972806806535,6.220340171035968,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0056,Asara Shrine and Fortress,,1.0,1.0,4.270405839124999,4.132154735356654,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0057,Dolmen Slavova Koriya,,1.0,1.0,5.557307032998946,5.568904837700199,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0058,Dolmen Gaidarov dolap,,1.0,1.0,5.805097098424712,5.814849797832584,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0060,Cromlech,,1.0,1.0,6.288223145421172,6.374745404357225,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0061,Mound Dolno Botevo,,1.0,1.0,6.7321388092467265,6.814970857596016,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0062,Kovan Kaya,,1.0,1.0,4.98754591614493,5.211528519437878,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0064,Gledka mound I,,1.0,1.0,6.7321388092467265,6.814970857596016,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0065,Gledka mound II,,1.0,1.0,6.7321388092467265,6.814970857596016,High,High,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0067,Dolmen Gorno Voyvodino,,1.0,1.0,6.392809017009833,6.477486170652504,High,High,False
