Cluster,Criterion,Valid_Runs,Mean_OCR_Chen,Max_OCR_Chen,Mean_Class_Change_Pct,Max_Class_Change_Pct
1,Seismic,10,0.10048243456784955,0.32146258254235693,1.404494382022472,3.3707865168539324
1,Wildfire,10,0.14864007869648482,0.3481482256663562,1.6853932584269664,3.3707865168539324
1,Flood,10,0.01977039881955273,0.072522159548751,0.2808988764044944,1.1235955056179776
1,Soil Erosion,10,0.07320447481607836,0.21756647864625303,0.7303370786516854,1.6853932584269662
1,Landslide,10,0.08359408520568876,0.24894042299360591,0.898876404494382,1.6853932584269662
1,Asset Vulnerability,10,0.07709534623313834,0.3481482256663562,1.0674157303370786,2.808988764044944
2,Seismic,10,0.15129310344827585,1.0344827586206895,1.951219512195122,12.195121951219512
2,Wildfire,10,0.07974137931034483,0.31896551724137934,1.2195121951219512,4.878048780487805
2,Flood,10,0.03189655172413793,0.31896551724137934,0.4878048780487805,4.878048780487805
2,Soil Erosion,10,0.03189655172413793,0.31896551724137934,0.4878048780487805,4.878048780487805
2,Landslide,10,0.23103448275862068,1.0344827586206895,3.1707317073170733,12.195121951219512
2,Asset Vulnerability,10,0.03189655172413793,0.31896551724137934,0.4878048780487805,4.878048780487805
3,Seismic,10,0.7966666666666666,1.5,5.483870967741935,9.67741935483871
3,Wildfire,10,0.5116666666666667,1.5,4.193548387096774,9.67741935483871
3,Flood,10,0.18333333333333335,1.5,1.2903225806451613,6.451612903225806
3,Soil Erosion,10,0.38166666666666665,1.5,3.225806451612903,9.67741935483871
3,Landslide,10,0.7,1.5,4.193548387096774,6.451612903225806
3,Asset Vulnerability,10,0.5133333333333333,1.5,3.5483870967741935,9.67741935483871
