Site_ID,Site,Cluster,Status,Intentional_NA_Criteria,Unexpected_Missing_Fields,Reason,Rusle_MTH,ELSUS_MTH,Material_general,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR
SITE_0037,Oriospotamo,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Coastal excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Coastal excl.,NoData>400m,Mortared stone masonry,1,3,1,,,1
SITE_0039,Thera Fortress foundation,1,Intentional N/A - renormalized,Landslide,,Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Direct,NoData>400m,Mortared stone masonry,1,3,1,1,,1
SITE_0041,Apollonia Pontica Cape Skamni,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Coastal excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Coastal excl.,NoData>400m,Mortared stone masonry,1,3,1,,,1
SITE_0042,Apollonia Pontica Chapel,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Near≤400m,Mortared mixed masonry (stone + brick),1,3,1,,7,3
SITE_0043,Fortification of St. John Monastery,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Coastal excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Coastal excl.,NoData>400m,Earthwork / early stone construction,1,3,1,,,7
SITE_0044,Island St. Kirik and St. Julita,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared stone masonry,1,3,1,,,1
SITE_0046,Monastery of St. John the Baptist,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Coastal excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Coastal excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
SITE_0047,Necropolis of Apollonia I,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Earthwork (earthen burial mound),1,3,1,,5,7
SITE_0048,Necropolis of Apollonia II,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Earthwork (earthen burial mound),1,3,1,,7,7
SITE_0049,Necropolis of Apollonia III,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Earthwork (earthen burial mound),1,3,1,,7,7
SITE_0050,Sozopolis Southern Complex,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
SITE_0051,Sozopolis Southern Fortification,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Near≤400m,Mortared stone masonry,1,3,1,,7,1
SITE_0053,Via sacra,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,1,3,1,,5,1
SITE_0054,Aquae Calidae,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,3,3,1,,5,1
SITE_0082,Merichleri mound I,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Other excl.),Other excl.,Direct,Earthwork (earthen burial mound),9,9,1,,1,7
SITE_0083,Merichleri mound II,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Other excl.),Other excl.,Direct,Earthwork (earthen burial mound),9,9,1,,1,7
SITE_0084,Merichleri mound III,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Other excl.),Other excl.,Direct,Earthwork (earthen burial mound),9,9,1,,1,7
SITE_0116,Church of St. John Prodomus,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),3,3,7,,3,3
SITE_0140,Church of St. Dimitar,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),9,1,1,,7,3
SITE_0141,Peristera Fortress,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,7,1,1,,1,1
SITE_0153,Church of St. George Metokha,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),9,1,7,,5,3
SITE_0155,Stanimaka Fortress ruins,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,1,5,,3,1
SITE_0158,Diocletionopolis,3,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,5,1,1,,1,1
SITE_0159,Hisarya Basilica 1,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),5,1,1,,1,3
SITE_0160,Hisarya Basilica 3,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),5,1,1,,1,3
SITE_0161,Hisarya Basilica 8,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),5,1,1,,1,3
SITE_0162,Hisarya Fortress walls,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,5,1,1,,1,1
SITE_0163,Hisarya Roman Baths,3,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,5,1,1,,1,1
SITE_0168,Ancient Theatre of Philippopolis,3,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,3,,1,1
SITE_0169,Domus Eirene,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,3,,1,1
SITE_0170,East Gate Philippopolis,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,9,5,5,,1,1
SITE_0171,Episcopal Great Basilica,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared mixed masonry (stone + brick),9,5,1,,1,3
