Cluster,Run_ID,Criterion_Row,Criterion_Column,Direction,Base_IOI,Perturbed_IOI,Base_CR,Alternative_CR,CR_Accepted,Weight_Seismic,Weight_Wildfire,Weight_Flood,Weight_Soil_Erosion,Weight_Landslide,Weight_Asset_Vulnerability,Sites_Analyzed,Sites_Changing_Class,Site_Class_Change_Pct,OCR_Chen,OCR_Note,Base_Very_Low,Base_Low,Base_Moderate,Base_High,Base_Very_High,Alt_Very_Low,Alt_Low,Alt_Moderate,Alt_High,Alt_Very_High
1,C1_R01,Seismic,Wildfire,down,1,1/2,0.07448249102972336,0.08308087075398989,True,0.25955676982095766,0.33131818640996047,0.030238788624217236,0.08717143160691607,0.12297248006619238,0.1687423434717563,178,6,3.3707865168539324,0.32146258254235693,,11,77,73,17,0,10,78,70,20,0
1,C1_R02,Seismic,Wildfire,up,1,2,0.07448249102972336,0.08308087075398989,True,0.33131818640996047,0.25955676982095766,0.030238788624217236,0.08717143160691607,0.12297248006619238,0.1687423434717563,178,5,2.808988764044944,0.09849618552277697,,11,77,73,17,0,11,75,74,18,0
1,C1_R03,Seismic,Flood,down,7,6,0.07448249102972336,0.0783504540163731,True,0.28905110494142705,0.29479823137820865,0.03202191145997165,0.08891893063209205,0.12471997909136837,0.17048984249693228,178,0,0.0,0.0,,11,77,73,17,0,11,77,73,17,0
1,C1_R04,Seismic,Flood,up,7,8,0.07448249102972336,0.0718560996371047,True,0.29828085339487437,0.29290450930885287,0.02954586595131681,0.0872989370069465,0.1230999854662228,0.16886984887178672,178,2,1.1235955056179776,0.0718105423987777,,11,77,73,17,0,11,76,73,18,0
1,C1_R05,Seismic,Soil Erosion,down,3,2,0.07448249102972336,0.08364129260745709,True,0.2806289849852705,0.29429018717106287,0.030459643270406685,0.0966320122514766,0.12610965445810973,0.17187951786367364,178,1,0.5617977528089888,0.02668564312399929,,11,77,73,17,0,11,78,72,17,0
1,C1_R06,Seismic,Soil Erosion,up,3,4,0.07448249102972336,0.07198867354319595,True,0.3043699333621879,0.29263284416031,0.03066267723662243,0.08314672019525583,0.12170898082002995,0.16747884422559386,178,3,1.6853932584269662,0.1443327019475287,,11,77,73,17,0,11,76,72,19,0
1,C1_R07,Seismic,Landslide,down,3,2,0.07448249102972336,0.07435872543247483,True,0.2786820490271289,0.2961645665096464,0.030584601892978923,0.08775703154437454,0.1330578538236141,0.17375389720225715,178,1,0.5617977528089888,0.02668564312399929,,11,77,73,17,0,11,78,72,17,0
1,C1_R08,Seismic,Landslide,up,3,4,0.07448249102972336,0.07853189893980385,True,0.3056354782111768,0.29118461115915373,0.030566128369878678,0.0881181467145399,0.11846502432081338,0.16603061122443755,178,3,1.6853932584269662,0.1443327019475287,,11,77,73,17,0,11,76,72,19,0
1,C1_R09,Seismic,Asset Vulnerability,down,3,2,0.07448249102972336,0.06589847145801865,True,0.27616973577896375,0.3004415804391579,0.030869736154946356,0.08823225531432027,0.12403330377359659,0.18025338853901518,178,2,1.1235955056179776,0.0992078026727503,,11,77,73,17,0,11,78,71,18,0
1,C1_R10,Seismic,Asset Vulnerability,up,3,4,0.07448249102972336,0.08469812987239389,True,0.3069290123243778,0.2881320198431748,0.03036262228214675,0.08777896990165335,0.12358001836092966,0.16321735728771763,178,2,1.1235955056179776,0.0718105423987777,,11,77,73,17,0,11,76,73,18,0
1,C1_R11,Wildfire,Flood,down,7,6,0.07448249102972336,0.0783504540163731,True,0.29479823137820865,0.28905110494142705,0.03202191145997165,0.08891893063209205,0.12471997909136837,0.17048984249693228,178,1,0.5617977528089888,0.02668564312399929,,11,77,73,17,0,11,76,74,17,0
1,C1_R12,Wildfire,Flood,up,7,8,0.07448249102972336,0.0718560996371047,True,0.29290450930885287,0.29828085339487437,0.02954586595131681,0.0872989370069465,0.1230999854662228,0.16886984887178672,178,0,0.0,0.0,,11,77,73,17,0,11,77,73,17,0
1,C1_R13,Wildfire,Soil Erosion,down,3,2,0.07448249102972336,0.08364129260745709,True,0.29429018717106287,0.2806289849852705,0.030459643270406685,0.0966320122514766,0.12610965445810973,0.17187951786367364,178,2,1.1235955056179776,0.0992078026727503,,11,77,73,17,0,11,76,75,16,0
1,C1_R14,Wildfire,Soil Erosion,up,3,4,0.07448249102972336,0.07198867354319595,True,0.29263284416031,0.3043699333621879,0.03066267723662243,0.08314672019525583,0.12170898082002995,0.16747884422559386,178,3,1.6853932584269662,0.21756647864625303,,11,77,73,17,0,11,77,70,20,0
1,C1_R15,Wildfire,Landslide,down,3,2,0.07448249102972336,0.07435872543247483,True,0.2961645665096464,0.2786820490271289,0.030584601892978923,0.08775703154437454,0.1330578538236141,0.17375389720225715,178,2,1.1235955056179776,0.0992078026727503,,11,77,73,17,0,11,76,75,16,0
1,C1_R16,Wildfire,Landslide,up,3,4,0.07448249102972336,0.07853189893980385,True,0.29118461115915373,0.3056354782111768,0.030566128369878678,0.0881181467145399,0.11846502432081338,0.16603061122443755,178,3,1.6853932584269662,0.24894042299360591,,11,77,73,17,0,10,78,71,19,0
1,C1_R17,Wildfire,Asset Vulnerability,down,3,2,0.07448249102972336,0.06589847145801865,True,0.3004415804391579,0.27616973577896375,0.030869736154946356,0.08823225531432027,0.12403330377359659,0.18025338853901518,178,3,1.6853932584269662,0.02668564312399929,,11,77,73,17,0,11,76,74,17,0
1,C1_R18,Wildfire,Asset Vulnerability,up,3,4,0.07448249102972336,0.08469812987239389,True,0.2881320198431748,0.3069290123243778,0.03036262228214675,0.08777896990165335,0.12358001836092966,0.16321735728771763,178,5,2.808988764044944,0.3481482256663562,,11,77,73,17,0,10,79,69,20,0
