Site_ID,Site,Cluster_3,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR,Rusle_MTH,ELSUS_MTH,Material_general
SITE_0086,Neutzikon Fortress,1,7,9,1,1,5,1,Direct,Direct,Mortared stone masonry
SITE_0087,Mihalich Rock Church,3,7,9,1,7,3,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0088,Dolmen Bayamluka,1,7,7,1,1,1,5,Direct,Direct,Dry stone masonry
SITE_0089,Orlovo Town,1,7,9,1,1,3,1,Direct,Direct,Mortared stone masonry
SITE_0090,Dolmen Kapakliyka II,1,7,7,1,3,1,5,Direct,Direct,Dry stone masonry
SITE_0091,Mehir Stone Chuchul,1,7,9,1,3,1,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0092,Ak Kaya,3,3,9,5,9,7,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0093,Kara inn,3,3,9,5,9,7,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0094,Dolmen Plevun,1,5,9,1,7,1,5,Direct,Direct,Dry stone masonry
SITE_0095,Kovan Kaya niches II,2,3,9,3,1,7,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0096,Efraim Fortress,3,3,9,5,5,9,1,Direct,Direct,Mortared stone masonry
SITE_0097,Dolmen Bakalov kladenets,1,7,7,1,1,1,5,Direct,Direct,Dry stone masonry
SITE_0098,Dolmen Byalata treva,1,7,7,1,3,5,5,Direct,Direct,Dry stone masonry
SITE_0099,Dolmen Kapakliyka I,1,7,7,1,1,3,5,Direct,Direct,Dry stone masonry
SITE_0100,Dolmen Kliftinova niva,1,7,7,1,1,5,5,Direct,Direct,Dry stone masonry
SITE_0101,Dolmen Paskalevi kelemeta,1,7,7,1,1,3,5,Direct,Direct,Dry stone masonry
SITE_0102,Dolmen Sakartsi,2,7,7,1,1,1,5,Direct,Direct,Dry stone masonry
SITE_0103,Burdenis Fortress,1,7,9,7,3,3,1,Direct,Direct,Mortared stone masonry
SITE_0104,Svilengrad mound necropolis,1,7,9,3,1,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0105,Svirachi Golyamata Mogila,1,5,9,1,3,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0106,Paleokastro Fortress,2,5,7,1,1,5,1,Direct,Direct,Mortared stone masonry
SITE_0107,Paparimsko Kale,2,7,7,1,1,3,1,Direct,Direct,Mortared stone masonry
SITE_0108,Holy Trinity Monastery,1,7,9,1,5,3,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0109,Orlovi Skali,3,3,5,1,3,7,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0110,Dupchen Kamak,1,3,5,1,5,7,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0111,Hambar Dere Necropolis,1,3,9,1,1,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0112,Chernichino mound,2,5,9,1,1,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0113,Patmos Fortress,1,5,3,5,9,7,1,Direct,Near≤400m,Mortared stone masonry
SITE_0114,Duzhdovnitsa niches,3,5,3,1,9,5,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0115,Perperikon,2,5,9,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0116,Church of St. John Prodomus,1,3,3,7,,3,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0117,Necropolis of St. John Prodomus,1,3,3,7,1,3,7,Direct,Direct,Burial deposits / unspecified construction
SITE_0118,Toplitsa,1,7,5,1,5,1,1,Direct,Direct,Mortared stone masonry
SITE_0119,Moryantsi tomb,1,3,9,1,5,7,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0120,Sivri Kaya niches,3,7,1,1,9,9,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0121,Arkata,3,3,9,5,1,7,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0122,Gouk in cave,3,3,9,5,1,5,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0123,Pop Martinova Dypka,3,3,9,5,1,9,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0124,Ada Tepe,2,3,9,1,1,7,9,Direct,Direct,Earthwork / earthen architecture
SITE_0125,Redestyuk Fortress,2,3,9,1,1,3,1,Direct,Direct,Mortared stone masonry
SITE_0126,Tatul,2,3,9,1,1,7,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0127,Ustra,2,3,5,1,1,9,1,Direct,Direct,Mortared stone masonry
SITE_0128,Vishegrad Fortress,1,3,9,5,9,7,1,Direct,Direct,Mortared stone masonry
SITE_0129,Hambar Kaya,2,3,5,1,1,9,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0130,Asar Kaya niches,3,7,3,1,5,9,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0131,Mal Asar,2,3,5,1,1,9,7,Direct,Direct,Earthwork / early stone construction
SITE_0132,Sredna Arda Rock cut niches,3,3,9,7,5,7,5,Direct,Near≤400m,Rock-cut / bedrock construction
SITE_0133,Shan Kaya,3,3,9,1,1,7,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0134,Belovo Basilica,2,9,1,1,1,7,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0135,St. Spas Basilica,2,9,1,1,1,7,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0136,Roman bridge Bratsigovo,2,7,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0137,Dzhenevra,2,7,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0138,Pashino Bardo,2,7,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0139,Tsepina,2,9,1,1,1,9,1,Direct,Direct,Mortared stone masonry
SITE_0140,Church of St. Dimitar,1,9,1,1,,7,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0141,Peristera Fortress,1,7,1,1,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0142,Kulata Gradot,2,9,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0143,The tower Kalinkata,2,9,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0144,Tatarsko Kale,2,3,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0145,Emporion Pistiros,1,9,1,9,3,1,1,Direct,Direct,Mortared stone masonry
SITE_0146,Zhaba Mogila,1,5,1,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0147,Lyubnishko Kale,2,9,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0148,Bona Mansio,1,9,1,1,3,1,1,Direct,Direct,Mortared stone masonry
SITE_0149,Tell Yunatsite,1,9,3,3,5,1,9,Direct,Direct,Earthwork / earthen architecture
SITE_0150,Anevo Kale,2,3,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0151,Asenova Fortress,3,9,1,7,5,7,1,Direct,Direct,Mortared stone masonry
SITE_0152,Bachkovo Monastery,1,7,1,7,7,7,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0153,Church of St. George Metokha,1,9,1,7,,5,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0154,Church of the Holy Virgin of Petrich,3,9,1,7,5,7,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0155,Stanimaka Fortress ruins,1,9,1,5,,3,1,Urban excl.,Direct,Mortared stone masonry
SITE_0156,Golyama Dragoyna,2,9,5,1,1,7,7,Direct,Direct,Earthwork / early stone construction
SITE_0157,Monastery of St. Cyril and St. Yulita,2,9,1,1,1,5,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0158,Diocletionopolis,3,5,1,1,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0159,Hisarya Basilica 1,1,5,1,1,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0160,Hisarya Basilica 3,1,5,1,1,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0161,Hisarya Basilica 8,1,5,1,1,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0162,Hisarya Fortress walls,1,5,1,1,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0163,Hisarya Roman Baths,3,5,1,1,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0164,Stone of Tsar Asen,3,7,1,5,1,5,1,Direct,Direct,Mortared stone masonry
SITE_0165,Monastery of Saints Cosmas and Damian,3,9,1,1,5,7,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0166,Maltepe,1,9,3,5,1,1,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0167,Red Church,1,9,1,1,5,1,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0168,Ancient Theatre of Philippopolis,3,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0169,Domus Eirene,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0170,East Gate Philippopolis,1,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0171,Episcopal Great Basilica,1,9,5,1,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0172,Hellenistic buildings,1,9,5,1,,1,7,Urban excl.,Direct,Earthwork / early stone construction
SITE_0173,Hisarya Kapia,1,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0174,Inner Fortress wall of Philippopolis,3,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0175,Minor Basilica,1,9,5,3,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0176,Nebet Tepe,1,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0177,Outer Fortress wall of Philippopolis,1,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0178,Peristyle building and street intersection,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0179,Philippopolis Roman Baths I,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0180,Remains of Fortress wall of Philippopolis,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0181,Roman Forum of Philippopolis,1,9,5,1,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0182,Roman Stadium of Philippopolis,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0183,Spas Bair hill,1,9,3,1,5,1,1,Direct,Direct,Mortared stone masonry
SITE_0184,Belintash,2,7,1,1,3,9,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0185,Chetinyova Mogila,3,5,1,1,7,7,7,Direct,Direct,Earthwork / early stone construction
SITE_0186,Horizon mound,1,5,1,1,1,1,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0187,Royal tomb,1,5,1,1,7,7,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0188,Church of St. Nicholas,1,9,5,3,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0189,Chintulovo mound,1,3,1,1,3,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0190,Nanchovata Mogila,1,3,1,3,5,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0191,Dyadovo settlement,1,3,5,1,,3,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0192,Kaloyanovo Mound I,1,3,3,1,3,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0193,Kaloyanovo Mound II,1,3,3,1,3,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0194,Kaloyanovo Mound III,1,3,3,1,5,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0195,Kaloyanovo Tumulus,1,3,3,1,5,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0196,Kamen mogila,1,3,7,1,3,7,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0197,Kota 255,1,3,5,1,5,9,1,Direct,Direct,Mortared stone masonry
SITE_0198,Prehistoric Wide Mound,1,3,5,1,5,5,9,Direct,Direct,Earthwork / earthen architecture
SITE_0199,Roman Karanovo mound,1,3,5,1,3,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0200,Tell Karanovo,1,3,5,1,,1,9,Urban excl.,Direct,Earthwork / earthen architecture
SITE_0201,Boz Bair,1,3,7,1,1,3,7,Direct,Direct,Earthwork / early stone construction
SITE_0202,Boz Bair mound I,1,3,7,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0203,Boz Bair mound II,1,3,7,1,5,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0204,Tuida Fortress,1,3,1,1,7,7,1,Direct,Direct,Mortared stone masonry
SITE_0205,Sokol Himitliyata,1,3,5,1,1,1,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0206,Staro Selo Mogila,1,3,7,1,7,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0207,Tvarditsa Fortress,3,3,1,1,3,9,1,Direct,Direct,Mortared stone masonry
SITE_0208,Gela Basilica,2,7,1,1,3,9,3,Direct,Direct,Mortared mixed masonry (stone + brick)
SITE_0209,Gradishte Fortress,2,5,1,1,5,9,1,Direct,Direct,Mortared stone masonry
SITE_0210,Momchilova Fortress,2,5,1,1,5,7,1,Direct,Direct,Mortared stone masonry
SITE_0211,Kaleto Fortress Koshnitsa,2,5,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0212,Uleya Cave,3,5,1,1,5,5,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0213,St. Ilia Fortress,2,5,1,1,5,7,1,Direct,Direct,Mortared stone masonry
SITE_0214,Yagodinska Cave,3,5,1,1,1,5,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0215,Tyovnata dupka,2,7,1,1,5,7,5,Direct,Direct,Rock-cut / bedrock construction
SITE_0216,Bratya Daskalovi mound,1,9,3,1,,3,7,Urban excl.,Direct,Earthwork (earthen burial mound)
SITE_0217,Momina Mogila,1,9,3,1,5,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0218,Buzovo Kale,2,3,1,3,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0219,Thracian domed tomb,1,3,1,5,5,7,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0220,Pizus Fortress,1,9,5,1,3,1,1,Direct,Direct,Mortared stone masonry
SITE_0221,Tomb of Kazanlak,2,3,1,1,1,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0222,Kran Fortress,3,3,1,1,5,7,1,Direct,Direct,Mortared stone masonry
SITE_0223,Kesteleva Mogila,1,3,1,1,1,5,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0224,Malak Dol mound,1,9,3,1,3,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0225,Karasura,1,9,5,1,1,1,1,Direct,Direct,Mortared stone masonry
SITE_0226,Tomb of Sashnova,1,3,1,1,5,1,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0227,Golyama Arsenalka tomb,1,3,1,1,1,1,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0228,Mezideva Fortress,2,3,1,1,1,7,1,Direct,Direct,Mortared stone masonry
SITE_0229,Ostrusha tomb,3,3,1,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0230,Sarafova Mogila,1,3,1,1,1,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0231,Tomb of Helvetia,1,3,1,1,,3,7,Urban excl.,Direct,Earthwork (earthen burial mound)
SITE_0232,Tomb of Malka Kosmatka,1,3,1,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0233,Tomb of Seuthes III,1,3,1,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0234,Tomb of Shushmanets,3,3,1,1,,7,7,Urban excl.,Direct,Earthwork (earthen burial mound)
SITE_0235,Tomb of Svetitzata,1,3,1,1,5,1,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0236,Tomb of The Griffins,1,3,1,1,3,3,7,Direct,Direct,Earthwork (earthen burial mound)
SITE_0237,Augusta Traiana Vereia,1,5,3,1,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0238,Neolithic dwellings,1,5,1,1,,7,9,Urban excl.,Direct,Earthwork / earthen architecture
SITE_0239,Bereket Mound,1,5,1,1,1,1,9,Direct,Direct,Earthwork / earthen architecture
SITE_0240,Roman mineral baths,1,3,1,1,,3,1,Urban excl.,Direct,Mortared stone masonry
SITE_0241,Fortress Zemlen,1,7,9,1,3,1,1,Direct,Direct,Mortared stone masonry
SITE_0242,Cheir maj Kaleto,1,9,9,5,3,3,1,Direct,Direct,Mortared stone masonry
SITE_0243,Hisara Fortress,1,9,9,3,,5,1,Other excl.,Direct,Mortared stone masonry
SITE_0244,Monastery of St. Athanasius the Great,1,9,9,5,,3,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick)
SITE_0245,Kaleto Fortress Bolyarovo,1,1,9,1,1,3,1,Direct,Direct,Mortared stone masonry
SITE_0246,Ancient Kabile,1,3,7,5,1,3,1,Direct,Direct,Mortared stone masonry
SITE_0247,Roman residence,1,1,9,1,5,1,1,Direct,Direct,Mortared stone masonry
SITE_0248,Malkoto Kale Fortress,1,1,9,1,1,5,1,Direct,Direct,Mortared stone masonry
SITE_0249,Dabilin Fortress,1,3,7,7,,1,1,Urban excl.,Direct,Mortared stone masonry
SITE_0250,Zaychi Vrah,3,3,7,3,5,7,1,Direct,Direct,Mortared stone masonry
