Site_ID,Site,Cluster_3,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR,Rusle_MTH,ELSUS_MTH,Material_general,WLC_RISK2
SITE_0034,Begliktash,1,1,3,1,1,5,5,Direct,Direct,Rock-cut / bedrock construction,2.761952
SITE_0035,Chengerska mound,1,1,3,1,1,3,7,Direct,Direct,Earthwork (earthen burial mound),2.853491
SITE_0036,Mound Stamopolu,1,1,3,1,1,3,7,Direct,Direct,Earthwork (earthen burial mound),2.853491
SITE_0037,Oriospotamo,1,1,3,1,,,1,Coastal excl.,NoData>400m,Mortared stone masonry,1.745817
SITE_0038,Ranuli Fortress,1,1,3,1,1,7,1,Direct,Direct,Mortared stone masonry,2.331082
SITE_0039,Thera Fortress foundation,1,1,3,1,1,,1,Direct,NoData>400m,Mortared stone masonry,1.670824
SITE_0040,Rusokastro Fortress,1,1,5,1,1,7,1,Direct,Direct,Mortared stone masonry,2.918794
SITE_0041,Apollonia Pontica Cape Skamni,1,1,3,1,,,1,Coastal excl.,NoData>400m,Mortared stone masonry,1.745817
SITE_0042,Apollonia Pontica Chapel,1,1,3,1,,7,3,Urban excl.,Near≤400m,Mortared mixed masonry (stone + brick),2.831781
SITE_0043,Fortification of St. John Monastery,1,1,3,1,,,7,Coastal excl.,NoData>400m,Earthwork / early stone construction,3.037664
SITE_0044,Island St. Kirik and St. Julita,1,1,3,1,,,1,Urban excl.,NoData>400m,Mortared stone masonry,1.745817
SITE_0045,Mesarite,1,1,3,1,1,7,9,Direct,Direct,Earthwork / earthen architecture,3.688401
SITE_0046,Monastery of St. John the Baptist,1,1,3,1,,,3,Coastal excl.,NoData>400m,Mortared mixed masonry (stone + brick),2.176432
SITE_0047,Necropolis of Apollonia I,1,1,3,1,,5,7,Urban excl.,Direct,Earthwork (earthen burial mound),3.304274
SITE_0048,Necropolis of Apollonia II,1,1,3,1,,7,7,Urban excl.,Direct,Earthwork (earthen burial mound),3.576002
SITE_0049,Necropolis of Apollonia III,1,1,3,1,,7,7,Urban excl.,Direct,Earthwork (earthen burial mound),3.576002
SITE_0050,Sozopolis Southern Complex,1,1,3,1,,,3,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),2.176432
SITE_0051,Sozopolis Southern Fortification,1,1,3,1,,7,1,Urban excl.,Near≤400m,Mortared stone masonry,2.459670
SITE_0052,St. Marina Oikos,1,1,3,1,1,5,9,Direct,Direct,Earthwork / earthen architecture,3.440611
SITE_0053,Via sacra,1,1,3,1,,5,1,Urban excl.,Direct,Mortared stone masonry,2.187943
SITE_0054,Aquae Calidae,1,3,3,1,,5,1,Urban excl.,Direct,Mortared stone masonry,2.832430
SITE_0055,Alexandrovo Tomb,1,7,9,1,1,1,7,Direct,Direct,Earthwork (earthen burial mound),6.131973
SITE_0056,Asara Shrine and Fortress,1,7,3,1,3,7,1,Direct,Direct,Mortared stone masonry,4.270406
SITE_0057,Dolmen Slavova Koriya,1,7,7,1,5,1,5,Direct,Direct,Dry stone masonry,5.557307
SITE_0058,Dolmen Gaidarov dolap,1,7,7,1,5,3,5,Direct,Direct,Dry stone masonry,5.805097
SITE_0059,Deaf Stones,2,7,9,1,1,9,5,Direct,Direct,Rock-cut / bedrock construction,7.530967
SITE_0060,Cromlech,1,7,9,1,1,5,5,Direct,Direct,Rock-cut / bedrock construction,6.288223
SITE_0061,Mound Dolno Botevo,1,7,9,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound),6.732139
SITE_0062,Kovan Kaya,1,3,9,5,1,3,5,Direct,Direct,Rock-cut / bedrock construction,4.987546
SITE_0063,Kovan Kaya niches I,3,3,9,3,1,7,5,Direct,Direct,Rock-cut / bedrock construction,5.404898
SITE_0064,Gledka mound I,1,7,9,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound),6.732139
SITE_0065,Gledka mound II,1,7,9,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound),6.732139
SITE_0066,Furnadzhika,2,7,9,1,1,5,5,Direct,Direct,Rock-cut / bedrock construction,5.827131
SITE_0067,Dolmen Gorno Voyvodino,1,7,9,1,5,3,5,Direct,Direct,Dry stone masonry,6.392809
SITE_0068,Dolmen Nachovi chairi,1,5,7,1,5,1,5,Direct,Direct,Dry stone masonry,4.969595
