Site_ID,Site,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin,gi_class
SITE_0134,Belovo Basilica,5.860170,1.746655,0.080697192271,9,1,Hot spot with 90% confidence
SITE_0135,St. Spas Basilica,5.860170,1.746655,0.080697192271,9,1,Hot spot with 90% confidence
SITE_0136,Roman bridge Bratsigovo,5.160820,1.035115,0.300615372982,9,0,Not statistically significant
SITE_0137,Dzhenevra,5.160820,1.254372,0.209706669925,9,0,Not statistically significant
SITE_0138,Pashino Bardo,5.160820,1.642632,0.100459153185,9,0,Not statistically significant
SITE_0139,Tsepina,6.547759,1.484304,0.137728349707,9,0,Not statistically significant
SITE_0140,Church of St. Dimitar,4.765243,1.074466,0.282613724475,9,0,Not statistically significant
SITE_0141,Peristera Fortress,2.933462,1.031972,0.302085070161,9,0,Not statistically significant
SITE_0142,Kulata Gradot,5.695841,1.484304,0.137728349707,9,0,Not statistically significant
SITE_0143,The tower Kalinkata,5.695841,1.803254,0.071348267946,9,1,Hot spot with 90% confidence
SITE_0144,Tatarsko Kale,4.090776,-1.240922,0.214634418279,9,0,Not statistically significant
SITE_0145,Emporion Pistiros,3.772109,1.746655,0.080697192271,9,1,Hot spot with 90% confidence
SITE_0146,Zhaba Mogila,3.793579,-1.436666,0.150812802138,9,0,Not statistically significant
SITE_0147,Lyubnishko Kale,5.695841,0.745450,0.455999862803,9,0,Not statistically significant
SITE_0148,Bona Mansio,3.527036,1.746655,0.080697192271,9,1,Hot spot with 90% confidence
SITE_0149,Tell Yunatsite,5.709523,0.989328,0.322502771404,9,0,Not statistically significant
SITE_0150,Anevo Kale,4.090776,-2.604643,0.009196989930,9,-3,Cold spot with 99% confidence
SITE_0151,Asenova Fortress,6.190361,2.163010,0.030540398234,9,2,Hot spot with 95% confidence
SITE_0152,Bachkovo Monastery,4.558205,2.163010,0.030540398234,9,2,Hot spot with 95% confidence
SITE_0153,Church of St. George Metokha,4.695077,1.907879,0.056406919289,9,1,Hot spot with 90% confidence
