Requested_k,Actual_clusters,Silhouette_score,Smallest_cluster,Largest_cluster,Mean_cluster_size
3,3,0.26904728991996274,31,178,83.33333333333333
4,4,0.2688773153340673,4,178,62.5
7,7,0.16689117710041432,4,129,35.714285714285715
6,6,0.15535250745010387,4,147,41.666666666666664
5,5,0.1521482124250162,4,147,50.0
